ID,乡镇级,Rural
298,澄照乡,0
299,桑坪镇,1
300,常胜镇,1
301,界牌镇,1
302,沙市镇,1
303,沙河街道办事处,1
304,黄荆镇,1
305,涛源镇,1
306,明集乡,0
307,梅林镇,1
308,巽宅镇,1
309,户育乡,0
310,黄峪镇,1
311,桐木镇,1
312,大鲸港镇,1
313,麻万镇,1
314,无定河镇,1
315,师岗镇,1
316,南湖镇,1
317,容美镇,1
318,崇头镇,1
319,大布镇,1
320,林山乡,0
321,塔山镇,1
322,南屏乡,0
323,青树镇,1
324,乌鲁却勒镇,1
325,洪洋乡,0
326,彭店子乡,0
327,西碱厂乡,0
328,九运街镇,1
329,陶厂镇,1
330,船塘镇,1
331,上江圩镇,1
332,木林镇,1
333,澄源乡,0
334,林堤乡,0
335,南市镇,1
336,金锁关镇,1
337,莲花办事处,1
338,西苏镇,1
339,盘江镇,1
340,万宝桥街道办事处,1
341,中寨苗族彝族布依族乡,0
342,铁厂镇,1
343,七都乡,0
344,草沟堡乡,0
345,罗湾乡,0
346,东里镇,1
347,草桥镇,1
348,沙镇镇,1
349,方山镇,1
350,莲城街道,1
351,春华镇,1
352,措玛乡,0
353,永安街道办事处,1
354,午极镇,1
355,南蔡村镇,1
356,大港头镇,1
357,磨山镇,1
358,隔蒲潭镇,1
359,古龙镇,1
360,蓄集乡,0
361,猴桥镇,1
362,桥头镇,1
363,安州街道办事处,1
364,拉玉乡,0
365,长梁镇,1
366,新集镇,1
367,白中镇,1
368,大田镇,1
369,湍河街道办事处,1
370,茶洞镇,1
371,磁钟乡,0
372,北宿镇,1
373,翟营乡,0
374,枫溪街道,1
375,石龙镇,1
376,城川镇,1
377,五台乡,0
378,秦皇台乡,0
379,护河镇,1
380,占哇乡,0
381,六坝镇,1
382,兴海街道,1
383,蜚克图街道办事处,1
384,下新镇,1
385,高阳镇,1
386,庆阳湖乡,0
387,花山乡,0
388,俚岛镇,1
389,阿洪鲁库木乡,0
390,龙合镇,1
391,郇封镇,1
392,白源街街道办事处,1
393,石堡镇,1
394,壶瓶山镇,1
395,加马铁热克乡,0
396,强嘎乡,0
397,新坊乡,0
398,高庙镇,1
399,王河镇,1
400,羊街镇,1
401,赵集镇,1
402,合流镇,1
403,洞波瑶族乡,0
404,大城子街道,1
405,常太镇,1
406,响岩镇,1
407,小水乡,0
408,寨坝镇,1
409,盐田畲族乡,0
410,洪岩镇,1
411,平原镇,1
412,定城街道办事处,1
413,荣丁镇,1
414,黄鱼圈乡,0
415,阿恰塔格乡,0
416,游仙街道办,1
417,大同乡,0
418,鱼鳞乡,0
419,白石山镇,1
420,左口乡,0
421,林圩镇,1
422,锡矿山街道,1
423,下坪乡,0
424,城西镇,1
425,高店镇,1
426,德卓镇,1
427,郑场镇,1
428,乌石镇,1
429,法官镇,1
430,宣化镇,1
431,新市镇,1
432,栗溪镇,1
433,榆林街道办事处,1
434,东林镇,1
435,东诚镇,1
436,盐场镇,1
437,永清镇,1
438,大山包镇,1
439,丹江镇,1
440,字嘎乡,0
441,灵关镇,1
442,双台乡,0
443,尹集镇,1
444,松坪傈僳族彝族乡,0
445,张庄镇,1
446,羊八井镇,1
447,大兴乡,0
448,金涵畲族乡,0
449,九龙镇,1
450,幺铺镇,1
451,三要镇,1
452,梅林镇,1
453,小河头镇,1
454,金中镇,1
455,永乐镇,1
456,龙塘乡,0
457,小纪镇,1
458,溧河铺镇,1
459,宜兴埠镇,1
460,三海街道办事处,1
461,好梯乡,0
462,鹿寨镇,1
463,中滩镇,1
464,清港镇,1
465,舍伯吐镇,1
466,陶家镇,1
467,珊溪镇,1
468,太平镇,1
469,江洲镇,1
470,新县镇,1
471,上奉镇,1
472,嘉明镇,1
473,丰润镇,1
474,罗田镇,1
475,柳堡镇,1
476,巴藏沟乡,0
477,龙池镇,1
478,磨憨镇,1
479,毓兰镇,1
480,江湖镇,1
481,双望镇,1
482,巴依阿瓦提乡,0
483,鼓楼办事处,1
484,坝墙子镇,1
485,汊河街道,1
486,川岩乡,0
487,右卫镇,1
488,石和镇,1
489,芹河镇,1
490,复兴镇,1
491,横山镇,1
492,坭坝乡,0
493,郭集镇,1
494,横山镇,1
495,冯家川乡,0
496,北沙城乡,0
497,炉观镇,1
498,长沟河镇,1
499,水头镇,1
500,阿羌镇,1
501,中旺镇,1
502,书洋镇,1
503,任店镇,1
504,八珠乡,0
505,近海街道办事处,1
506,河东街道办事处,1
507,安福乡,0
508,峰峪乡,0
509,桐山街道,1
510,席麻湾镇,1
511,张维镇,1
512,甘棠镇,1
513,连福镇,1
514,怀德镇,1
515,夏阳乡,0
516,鸡林乡,0
517,詹圩镇,1
518,嘎美乡,0
519,横市镇,1
520,爱民乡,0
521,九资河镇,1
522,长胜乡,0
523,崞村镇,1
524,花鸟乡,0
525,老城街道办事处,1
526,仕阳镇,1
527,海子滩镇,1
528,平望镇,1
529,马营乡,0
530,凤凰乡,0
531,侯家镇,1
532,姜畲镇,1
533,长山子镇,1
534,友谊镇,1
535,矿坑镇,1
536,黑沟镇,1
537,罗龙街道办事处,1
538,庆丰镇,1
539,孟关苗族布依族乡,0
540,洪州镇,1
541,乾州街道办事处,1
542,金龙镇,1
543,岳城镇,1
544,花湖镇,1
545,桥头集镇,1
546,石碌镇,1
547,驼峰乡,0
548,镇罗镇,1
549,马影镇,1
550,雅德乡,0
551,秋渠乡,0
552,屈子祠镇,1
553,北泗镇,1
554,泉河铺镇,1
555,两坪乡,0
556,牙甫泉镇,1
557,大褚村回族乡,0
558,岩帅镇,1
559,老勐镇,1
560,宁中镇,1
561,明安图镇,1
562,下水乡,0
563,花坪镇,1
564,陈旗东乌珠尔苏木,0
565,杨林街镇,1
566,七方镇,1
567,白沙镇,1
568,曲阿街道,1
569,勐捧镇,1
570,庐城镇,1
571,伊和淖尔苏木,0
572,田心乡,0
573,高柳镇,1
574,百安坝街道办事处,1
575,营头镇,1
576,泗交镇,1
577,三川口镇,1
578,良山镇,1
579,新城子镇,1
580,采育镇,1
581,湛北乡,0
582,板岭乡,0
583,留庄镇,1
584,古河乡,0
585,北果元乡,0
586,先锋镇,1
587,碧流台镇,1
588,小村乡,0
589,巴润别立镇,1
590,古北乡,0
591,白露塘镇,1
592,固镇镇,1
593,榆垡镇,1
594,潘河街道办事处,1
595,台东街道办事处,1
596,长龙镇,1
597,梅山镇,1
598,桦树镇,1
599,乌泥镇,1
600,五山乡,0
601,娄家店乡,0
602,三圣镇,1
603,普迹镇,1
604,西巩驿镇,1
605,柳林镇,1
606,大庄子镇,1
607,东杨庄乡,0
608,板桥镇,1
609,芒卡镇,1
610,虞丞乡,0
611,吉洞峪满族乡,0
612,寺前镇,1
613,垒头乡,0
614,太平镇,1
615,杨店乡,0
616,大塘镇,1
617,罗麦乡,0
618,高桥镇,1
619,晁陂镇,1
620,马塘镇,1
621,扎其乡,0
622,腾鳌镇,1
623,西河乡,0
624,双口镇,1
625,黄洞乡,0
626,菜花坪镇,1
627,碾子镇,1
628,柯拉乡,0
629,永和镇,1
630,濮阳县子岸镇,1
631,棋坪镇,1
632,碾子峪镇,1
633,木梓乡,0
634,鼓匠乡,0
635,水沟镇,1
636,大稼乡,0
637,芦田乡,0
638,兴桥镇,1
639,紫荆镇,1
640,王格尔塘镇,1
641,桦皮厂镇,1
642,彭家乡,0
643,水道镇,1
644,陡箐镇,1
645,良口乡,0
646,曲水镇,1
647,那良镇,1
648,田园镇,1
649,长沙镇,1
