ID,乡镇级,Rural
7217,永和乡,0
7218,年龙乡,0
7219,狮子沟镇,1
7220,白马乡,0
7221,程海镇,1
7222,建堂镇,1
7223,拉沟乡,0
7224,滚子营乡,0
7225,长沟镇,1
7226,遵谭镇,1
7227,涂坊镇,1
7228,东流镇,1
7229,福安街道办事处,1
7230,桂花泉镇,1
7231,黄土矿镇,1
7232,兰田瑶族乡,0
7233,龙临镇,1
7234,商城镇,1
7235,尹家溪镇,1
7236,新溪口乡,0
7237,吐曼塔勒乡,0
7238,岭北镇,1
7239,古城乡,0
7240,华塘镇,1
7241,老城镇,1
7242,白达乡,0
7243,北云门镇,1
7244,火车西站办事处,1
7245,笃山镇,1
7246,龙甫镇,1
7247,社富乡,0
7248,兴业乡,0
7249,灯塔乡,0
7250,吉阳镇,1
7251,四屏镇,1
7252,中东镇,1
7253,恩育乡,0
7254,千秋镇,1
7255,新集川镇,1
7256,漩口镇,1
7257,杨柑镇,1
7258,清江桥乡,0
7259,两水镇,1
7260,新鄂乡,0
7261,安宁乡,0
7262,联棚乡,0
7263,龙门乡,0
7264,华阳镇,1
7265,新城乡,0
7266,毛日乡,0
7267,肃州镇,1
7268,赛岐镇,1
7269,屏山镇,1
7270,梁水镇,1
7271,浍沟镇,1
7272,中方镇,1
7273,宁州街道办事处,1
7274,柯街镇,1
7275,刘家会镇,1
7276,东汤镇,1
7277,骆湖镇,1
7278,白旗乡,0
7279,罗庄子镇,1
7280,桥头镇,1
7281,丰州镇,1
7282,谦六彝族乡,0
7283,南万镇,1
7284,涪阳镇,1
7285,洋墩乡,0
7286,杨集镇,1
7287,源南乡,0
7288,花石崖镇,1
7289,骆店镇,1
7290,金湖街道办事处,1
7291,豆罗镇,1
7292,李庄镇,1
7293,海口镇,1
7294,马秀乡,0
7295,小江镇,1
7296,望关镇,1
7297,莲花塘乡,0
7298,东山镇,1
7299,后台乡,0
7300,大鄣山乡,0
7301,一斗泉乡,0
7302,琵琶镇,1
7303,白沙镇,1
7304,小胜镇,1
7305,新堡布依族乡,0
7306,四大寨乡,0
7307,夏畈镇,1
7308,大武镇,1
7309,大海陀乡,0
7310,高镇,1
7311,大椿乡,0
7312,何官镇,1
7313,阿瓦提镇,1
7314,百尺河镇,1
7315,龙沙镇,1
7316,竹坪乡,0
7317,新坝镇,1
7318,庙子镇,1
7319,小龙马乡,0
7320,太平镇,1
7321,蒲团乡,0
7322,山棱岗乡,0
7323,海阳镇,1
7324,彰武镇,1
7325,石梨镇,1
7326,城南镇,1
7327,新桥镇,1
7328,复兴镇,1
7329,胜利镇,1
7330,窝城镇,1
7331,天门山镇,1
7332,濮阳县梨园乡,0
7333,霞口镇,1
7334,束城镇,1
7335,奶子山街道办事处,1
7336,六郎乡,0
7337,行者街道办事处,1
7338,三道桥镇,1
7339,瓦子峪镇,1
7340,到贤镇,1
7341,淡村镇,1
7342,漠滨侗族苗族乡,0
7343,墨河街道办事处,1
7344,上模乡,0
7345,西二镇,1
7346,桥沟街道办事处,1
7347,库米什镇,1
7348,关店乡,0
7349,福全街道,1
7350,高作镇,1
7351,苏圩镇,1
7352,双江镇,1
7353,艾西曼镇,1
7354,张庄镇,1
7355,观音桥镇,1
7356,洼兴镇,1
7357,西寨乡,0
7358,黄渡乡,0
7359,孟村镇,1
7360,绍文乡,0
7361,宋楼镇,1
7362,杏山街道,1
7363,象溪镇,1
7364,甘泉镇,1
7365,台安县韭菜台镇,1
7366,观胜镇,1
7367,萨罕镇,1
7368,半坡乡,0
7369,孤山镇,1
7370,龙山镇,1
7371,太平桥乡,0
7372,开慧镇,1
7373,杨家河镇,1
7374,太本站镇,1
7375,泉波镇,1
7376,八道壕镇,1
7377,洪河乡,0
7378,宝山乡,0
7379,高台子镇,1
7380,郁山镇,1
7381,沙金套海苏木,0
7382,曹远镇,1
7383,那比乡,0
7384,巴彦岱镇,1
7385,鱼山镇,1
7386,龙门所镇,1
7387,鄢家镇,1
7388,南宽坪镇,1
7389,炉山镇,1
7390,岭南乡,0
7391,罗秀镇,1
7392,北城街道,1
7393,大桥镇,1
7394,隘子镇,1
7395,碧流河镇,1
7396,高城镇,1
7397,南双庙镇,1
7398,青龙镇,1
7399,沙里寨镇,1
7400,顾山镇,1
7401,排上镇,1
7402,梅溪镇,1
7403,十八顷镇,1
7404,英安镇,1
7405,智青松多镇,1
7406,亿合公镇,1
7407,浩门镇,1
7408,河栏镇,1
7409,南苑街道办事处,1
7410,东来乡,0
7411,太安镇,1
7412,艾古斯乡,0
7413,尼西乡,0
7414,安乐溪乡,0
7415,新市镇,1
7416,新民镇,1
7417,毛田镇,1
7418,南宫镇,1
7419,城上乡,0
7420,刘套镇,1
7421,巴音宝力格镇,1
7422,五星乡,0
7423,梭磨乡,0
7424,花石镇,1
7425,龙坝乡,0
7426,营盘苗族彝族白族乡,0
7427,陈堡镇,1
7428,沙龙乡,0
7429,贵门乡,0
7430,大堡镇,1
7431,霖磐镇,1
7432,上口镇,1
7433,东朗镇,1
7434,旺达镇,1
7435,南丰镇,1
7436,朱集镇,1
7437,雷洞瑶族水族乡,0
7438,公坪镇,1
7439,堤村乡,0
7440,肇兴镇,1
7441,玛热勒苏镇,1
7442,中坝街道,1
7443,青坨营镇,1
7444,魏集镇,1
7445,五星镇,1
7446,南诏镇,1
7447,南村镇,1
7448,安驾庄镇,1
7449,毛里湖镇,1
7450,长洛乡,0
7451,小湾东镇,1
7452,花田乡,0
7453,幽兰镇,1
7454,昌傅镇,1
7455,鸬鹚渡镇,1
7456,良田镇,1
7457,惠安街道办事处,1
7458,郊纳镇,1
7459,武当乡,0
7460,台鱼乡,0
7461,杨家寺镇,1
7462,草坪镇,1
7463,河头镇,1
7464,王瞳镇,1
7465,桂洋镇,1
7466,东邵渠镇,1
7467,广福镇,1
7468,荷叶镇,1
7469,顺河街道办事处,1
7470,贾沙乡,0
7471,南河镇,1
7472,西兰乡,0
7473,安靖乡,0
7474,岵山镇,1
7475,新化乡,0
7476,新富乡,0
7477,胜利街道办事处,1
7478,南唐乡,0
7479,湄江街道办事处,1
7480,龙翔街道办事处,1
7481,夏特柯尔克孜族乡,0
7482,查当乡,0
7483,中梁乡,0
7484,牧护关镇,1
7485,金钟镇,1
7486,盘水街道办事处,1
7487,酇阳镇,1
7488,石桥镇,1
7489,清池镇,1
7490,大桥镇,1
7491,大周镇,1
7492,高山镇,1
7493,团结乡,0
7494,鸭南乡,0
7495,姜庄镇,1
7496,平桥镇,1
7497,博里镇,1
7498,高村镇,1
7499,太公镇,1
7500,泽覃乡,0
7501,大黄乡,0
7502,八达营蒙古族乡,0
7503,茸安乡,0
7504,木卓镇,1
7505,陶城镇,1
7506,高力房镇,1
7507,回龙乡,0
7508,小屯镇,1
7509,玉皇庙镇,1
7510,开鲁镇,1
7511,五盖山镇,1
7512,贵福镇,1
7513,玉台镇,1
7514,自来桥镇,1
7515,振兴街道办事处,1
7516,航天镇,1
7517,太平湖镇,1
7518,波泥河街道办事处,1
7519,天仙镇,1
7520,黄渡镇,1
7521,土兴镇,1
7522,帽子峰镇,1
7523,益店镇,1
7524,神头镇,1
7525,六横镇,1
7526,茶卡镇,1
7527,天台镇,1
7528,宋楼镇,1
7529,玉泉街道办事处,1
7530,芦田镇,1
7531,羊尖镇,1
7532,草市镇,1
7533,小河镇,1
7534,中关镇,1
7535,地苏镇,1
7536,冗渡镇,1
7537,新村乡,0
7538,宁利乡,0
7539,小山乡,0
7540,张王疃乡,0
7541,湘滨镇,1
7542,德巫乡,0
7543,九间楼乡,0
7544,广坪镇,1
7545,龙滩镇,1
7546,安坪镇,1
7547,杉木桥镇,1
7548,青山乡,0
7549,张村街道办事处,1
7550,沙塘镇,1
7551,阳平关镇,1
7552,良井镇,1
7553,大桥镇,1
7554,桃花源街道办事处,1
7555,孙镇镇,1
7556,白龙镇,1
7557,陈家集镇,1
7558,顺会乡,0
7559,思蒙镇,1
7560,西湖镇,1
7561,古城营镇,1
7562,莲花街道办事处,1
7563,古里乡,0
7564,北耽车乡,0
7565,上埠镇,1
7566,乌玛塘乡,0
7567,思蒙镇,1
7568,草庙乡,0
7569,许村镇,1
7570,苦竹乡,0
7571,祥贝乡,0
7572,玉带乡,0
7573,杉木乡,0
7574,朱坑乡,0
7575,西南镇,1
7576,龙家镇,1
7577,店下镇,1
7578,东溪街道,1
7579,界牌乡,0
7580,经建乡,0
7581,古城镇,1
7582,沙口镇,1
7583,洛河镇,1
7584,平安镇,1
7585,阿拉坦合力苏木,0
7586,永建镇,1
7587,统溪河镇,1
7588,铜都街道办事处,1
7589,石盘屯乡,0
7590,大源乡,0
7591,三板镇,1
7592,大石乡,0
7593,新丰镇,1
7594,得石镇,1
7595,义门镇,1
7596,萨勒吾则克乡,0
7597,盐锅峡镇,1
7598,水口镇,1
7599,四面城镇,1
7600,侣俸镇,1
7601,寿安镇,1
7602,王店孜乡,0
7603,隆务镇,1
7604,洞阳镇,1
7605,长寨街道,1
7606,光华路街道办事处,1
7607,大秦乡,0
7608,官地镇,1
7609,海会镇,1
7610,尧头镇,1
7611,大堰镇,1
7612,东岳镇,1
7613,马马崖镇,1
7614,魏家庄镇,1
7615,雷家店乡,0
7616,梅江镇,1
7617,双沟镇,1
7618,沐尘畲族乡,0
7619,枣强镇,1
7620,永庆乡,0
7621,龙城街道办事处,1
7622,洪相乡,0
7623,温泉街道办事处,1
7624,杨溪乡,0
7625,兰里镇,1
7626,新屯子镇,1
7627,高村镇,1
7628,西牛镇,1
7629,古龙镇,1
7630,喀拉托别乡,0
7631,万店镇,1
7632,七营镇,1
7633,独山港镇,1
7634,大桥镇,1
7635,后山镇,1
7636,土主镇,1
7637,利村乡,0
7638,北河庄镇,1
7639,东林乡,0
7640,大站镇,1
7641,杭口镇,1
7642,齐干吉迭乡,0
7643,莫红乡,0
7644,楚店镇,1
7645,岳坝镇,1
7646,顺溪镇,1
7647,虎让乡,0
7648,金龙街道办事处,1
7649,桴焉镇,1
7650,太山庙镇,1
7651,代桥镇,1
7652,老范寨乡,0
7653,勐拉镇,1
7654,翔凤镇,1
7655,三百山镇,1
7656,石栏镇,1
7657,如美镇,1
7658,谢塘镇,1
7659,酒房镇,1
7660,文亭街道办事处,1
7661,北韩乡,0
7662,南庄镇,1
7663,南港镇,1
7664,麻栗场镇,1
7665,王村镇,1
7666,仙源镇,1
7667,相公庄街道办事处,1
7668,木栾街道办事处,1
7669,东青镇,1
7670,怀忠镇,1
7671,水北镇,1
7672,莫多乡,0
7673,东山镇,1
7674,高楼镇,1
7675,蔡河镇,1
7676,凤山镇,1
7677,双庙街乡,0
7678,淑村镇,1
7679,巴彦花镇,1
7680,株良镇,1
7681,达木珞巴民族乡,0
7682,哲觉镇,1
7683,双柳街道办事处,1
7684,掌政镇,1
7685,送桥镇,1
7686,老庙镇,1
7687,卡贡乡,0
7688,大庄镇,1
7689,大水泊镇,1
7690,张家产镇,1
7691,打渔陈镇,1
7692,黄羊镇,1
7693,哈达山镇,1
7694,羊场镇,1
7695,怀头他拉镇,1
7696,都江镇,1
7697,弥阳镇,1
7698,定仙墕镇,1
7699,大相各庄乡,0
7700,驿道镇,1
7701,许庄街道,1
7702,桃川镇,1
7703,藏南镇,1
7704,占城镇,1
7705,瑶区瑶族乡,0
7706,觉洛乡,0
7707,瓦店镇,1
7708,丰家铺镇,1
7709,吉镇,1
7710,留龙沟镇,1
7711,城关街道办事处,1
7712,新发镇,1
7713,仰韶镇,1
7714,布久乡,0
7715,土桥镇,1
7716,大溪镇,1
7717,岗王镇,1
7718,多鲁乡,0
7719,平桥乡,0
7720,汉庄镇,1
7721,西岗镇,1
7722,风山乡,0
7723,天门乡,0
7724,桥头镇,1
7725,茂井镇,1
7726,大街乡,0
7727,河口镇,1
7728,禹里镇,1
7729,万金塔乡,0
7730,日月岛街道办事处,1
7731,关庄镇,1
7732,大岭镇,1
7733,上司镇,1
7734,阜溪街道,1
7735,韩庙镇,1
7736,五谷城镇,1
7737,思劳镇,1
7738,陈坊乡,0
7739,光照镇,1
7740,双丰镇,1
7741,意溪镇,1
7742,下坝镇,1
7743,地洛乡,0
7744,老河乡,0
7745,竹阿觉镇,1
7746,荣桓镇,1
7747,红坊镇,1
7748,金华镇,1
7749,沙头镇,1
7750,良西镇,1
7751,八里湾镇,1
7752,来榜镇,1
7753,柳堡镇,1
7754,甲措乡,0
7755,七都镇,1
7756,小岭街道办事处,1
7757,佛楼镇,1
7758,文竹镇,1
7759,海头镇,1
7760,城峰镇,1
7761,朝鲁吐镇,1
7762,蛇形山镇,1
7763,龙观乡,0
7764,杨庙乡,0
7765,日当镇,1
7766,任固镇,1
7767,板桥畲族乡,0
7768,法特镇,1
7769,八宝镇,1
7770,牛店镇,1
7771,黄山头镇,1
7772,栗子乡,0
7773,开山屯镇,1
7774,模环乡,0
7775,里山镇,1
7776,竹市镇,1
7777,永和镇,1
7778,茨沟镇,1
7779,环城街道办事处,1
7780,普棚镇,1
7781,祥华乡,0
7782,郑场镇,1
7783,黄垓镇,1
7784,霞拔乡,0
7785,正果镇,1
7786,梁才街道办事处,1
7787,白沙镇,1
7788,神堂堡乡,0
7789,西峰镇,1
7790,义和镇,1
7791,狮溪镇,1
7792,湘乐镇,1
7793,隆都镇,1
7794,克西乡,0
7795,南山坪乡,0
7796,椿树镇,1
7797,大业镇,1
7798,姜疃镇,1
7799,曹碾满族乡,0
7800,大兴镇,1
7801,春荣镇,1
7802,柳树店乡,0
7803,鸡黍镇,1
7804,陈家坝街道办事处,1
7805,萨麦苏木,0
7806,花荄镇,1
7807,双峰寺镇,1
7808,水源镇,1
7809,战旗镇,1
7810,神头乡,0
7811,福洞镇,1
7812,禾尼乡,0
7813,永兴镇,1
7814,东海镇,1
7815,开发区（钟庄街道）,1
7816,金星乡,0
7817,铁王镇,1
7818,法斗乡,0
7819,甘其毛都镇,1
7820,大康镇,1
7821,西湖乡,0
7822,南溪镇,1
7823,花桥镇,1
7824,龙山镇,1
7825,金沟乡,0
7826,东村镇,1
7827,蒙姑镇,1
7828,东和乡,0
7829,兴隆华侨农场,0
7830,中界镇,1
7831,格萨拉彝族乡,0
7832,德庆镇,1
7833,日东乡,0
7834,八景镇,1
7835,深柳镇,1
7836,阿热吾斯塘镇,1
7837,普阳农场,0
7838,梅花镇,1
7839,良安镇,1
7840,小铺乡,0
7841,龙头镇,1
7842,芦阳街道办事处,1
7843,水口镇,1
7844,寨头堡乡,0
7845,上户镇,1
7846,石狗镇,1
7847,布甲乡,0
7848,铜山镇,1
7849,万峰湖镇,1
7850,洋溪镇,1
7851,岩架镇,1
7852,光明乡,0
7853,界河口镇,1
7854,烟溪镇,1
7855,茅塘镇,1
7856,老城乡,0
7857,雨碌乡,0
7858,香水镇,1
7859,花园镇,1
7860,城关镇,1
7861,乐福堂乡,0
7862,构扒镇,1
7863,场坝镇,1
7864,红丝乡,0
7865,博爱县磨头镇,1
7866,甲寅镇,1
7867,马坪镇,1
7868,辛庄镇,1
7869,太石乡,0
7870,东营房乡,0
7871,大通镇,1
7872,新乌江镇,1
7873,东留镇,1
7874,宁城街道办事处,1
7875,白草塬镇,1
7876,老屯乡,0
7877,元宝山镇,1
7878,双龙镇,1
7879,灵溪镇,1
7880,青云镇,1
7881,积石镇,1
7882,白石水镇,1
7883,福寿镇,1
7884,红场镇,1
7885,金龙镇,1
7886,大致坡镇,1
7887,巴城镇,1
7888,工农街道,1
7889,龙溪镇,1
7890,沂城街道办事处,1
7891,头铺镇,1
7892,调风镇,1
7893,海青乡,0
7894,学田镇,1
7895,绿水镇,1
7896,哈达镇,1
7897,城关镇,1
7898,钦工镇,1
7899,莲子镇镇,1
7900,哈达碑镇,1
7901,建国镇,1
7902,花桥镇,1
7903,莲花镇,1
7904,腰山镇,1
7905,谢坝仡佬族苗族乡,0
7906,羊泉镇,1
7907,西沟乡,0
7908,河东镇,1
7909,北淮淀镇,1
7910,漫湾镇,1
7911,陈岱镇,1
7912,天宫营乡,0
7913,稍峪镇,1
7914,马号镇,1
7915,接官乡,0
7916,筵宾镇,1
7917,吉瓦乡,0
7918,南源乡,0
7919,阿旺乡,0
7920,麻章镇,1
7921,巴彦淖尔苏木,0
7922,山丹镇,1
7923,王庙镇,1
7924,罗坪镇,1
7925,赵和镇,1
7926,饶阳镇,1
7927,龚家坪镇,1
7928,雅拉乡,0
7929,麦溪乡,0
7930,陈家镇,1
7931,巨宝山镇,1
7932,东升镇,1
7933,凤凰镇,1
7934,北炉乡,0
7935,黄梅乡,0
7936,洪安镇,1
7937,罗坑镇,1
7938,利周瑶族乡,0
7939,河口镇,1
7940,大桥乡,0
7941,南盛街道,1
7942,汤沟镇,1
7943,两河口镇,1
7944,表白寺镇,1
7945,刀告乡,0
7946,朱兰街道办事处,1
7947,大曹庄乡,0
7948,荣将镇,1
7949,垛庄镇,1
7950,洲瑞镇,1
7951,滨江街道办事处,1
7952,丰庄镇,1
7953,罗岗镇,1
7954,东瓜镇,1
7955,河池镇,1
7956,水门畲族乡,0
7957,东城镇,1
7958,长江镇,1
7959,五合乡,0
7960,吉布库镇,1
7961,社阳乡,0
7962,李家坪乡,0
7963,一农场,0
7964,平圩镇,1
7965,石门镇,1
7966,朝阳街道,1
7967,桃林镇,1
7968,门家庄乡,0
7969,河口街道办事处,1
7970,沙尔沁镇,1
7971,新坝镇,1
7972,赵同乡,0
7973,相市乡,0
7974,文集镇,1
7975,王堰镇,1
7976,龙须门镇,1
7977,杏子铺镇,1
7978,阿克萨克玛热勒乡,0
7979,布溪街道,1
7980,哈拉哈达镇,1
7981,会师镇,1
7982,石亭镇,1
7983,辽城乡,0
7984,富罗镇,1
7985,松溪乡,0
7986,金井乡,0
7987,清水乡,0
7988,东夏亭镇,1
7989,双明镇,1
7990,东富镇,1
7991,奔戈乡,0
7992,马谷田镇,1
7993,良田乡,0
7994,大树镇,1
7995,吉尔格勒特郭愣蒙古民族乡,0
7996,堆子前镇,1
7997,五乡镇,0
7998,草堂镇,1
7999,辽北街道办事处,1
8000,古塔镇,1
8001,大尹村镇,1
8002,路下乡,0
8003,七美乡,0
8004,坛下乡,0
8005,七家子镇,1
8006,高头乡,0
8007,森村乡,0
8008,悦来镇,1
8009,中咱镇,1
8010,万里镇,1
8011,双井街道办事处,1
8012,太浮镇,1
8013,仙都镇,1
8014,玉津镇,1
8015,十八里铺镇,1
8016,后宅镇,1
8017,淮土镇,1
8018,滦阳镇,1
8019,高良涧街道,1
8020,丁香镇,1
8021,油坊镇,1
8022,酒埠江镇,1
8023,下韩村乡,0
8024,连州镇,1
8025,新河镇,1
8026,霞葛镇,1
8027,浦坝港镇,1
8028,拉林满族镇,1
8029,岗坪镇,1
8030,鉴江开发区,1
8031,金山镇,1
8032,天桥镇,1
8033,南杜街道办事处,1
8034,刘店乡,0
8035,杨村镇,1
8036,军赛佤族拉祜族傈僳族德昂族乡,0
8037,潘家湾土家族乡,0
8038,红石塄乡,0
8039,六龙山侗族土家族乡,0
8040,天彭街道办事处,1
8041,那楼镇,1
8042,东山彝族乡,0
8043,龙光乡,0
8044,饶州街道办事处,1
8045,沙扒镇,1
8046,永久乡,0
8047,杨营镇,1
8048,庙街乡,0
8049,新寨镇,1
8050,黄陂镇,1
8051,庞各庄乡,0
8052,研经镇,1
8053,温泉彝族乡,0
8054,宁安镇,1
8055,庆坪镇,1
8056,鸡冠石镇,1
8057,百泉镇,1
8058,卢市镇,1
8059,船场镇,1
8060,夏里乡,0
8061,先锋乡,0
8062,竹园镇,1
8063,叩官镇,1
8064,麻邛乡,0
8065,永州镇,1
8066,乐从镇,1
8067,柯生乡,0
8068,前营子镇,1
8069,鱼溪镇,1
8070,洋门乡,0
8071,古竹乡,0
8072,徐圩乡,0
8073,东联镇,1
8074,新城子镇,1
8075,曾家镇,1
8076,毛阳镇,1
8077,掌子沟乡,0
8078,徐家坊街道办事处,1
8079,长村乡,0
8080,梨树乡,0
8081,北代乡,0
8082,大桥镇,1
8083,芳村镇,1
8084,港口乡,0
8085,北中镇,1
8086,瓦寨镇,1
8087,雨露白族乡,0
8088,白彦花镇,1
8089,高增乡,0
8090,寨子乡,0
8091,港上镇,1
8092,新市镇,1
8093,介福乡,0
8094,白界镇,1
8095,腾桥镇,1
8096,清泉镇,1
8097,四排山乡,0
8098,遵化镇,1
8099,马站乡,0
8100,琼库勒乡,0
8101,财源镇,1
8102,众兴集镇,1
8103,绥安镇,1
8104,考城镇,1
8105,红土坡镇,1
8106,盛康镇,1
8107,中川乡,0
8108,大明镇,1
8109,翠玉傈僳族普米族乡,0
8110,官桥镇,1
8111,三墩镇,1
8112,琴溪镇,1
8113,尖山乡,0
8114,江口镇,1
8115,哈拉海镇,1
8116,上莞镇,1
8117,玉斗镇,1
8118,九彩乡,0
8119,渣津镇,1
8120,水田镇,1
8121,塔水镇,1
8122,板场乡,0
8123,亭旁镇,1
8124,那思镇,1
8125,浦市镇,1
8126,则巴乡,0
8127,九龙乡,0
8128,纳福街道,1
8129,大邹镇,1
8130,乌蒙镇,1
8131,干窑镇,1
8132,桥头镇,1
8133,石羊镇,1
8134,东河口镇,1
8135,常青街道办事处,1
8136,南坊镇,1
8137,金五台子镇,1
8138,城郊镇,1
8139,新洲镇,1
8140,五家镇,1
8141,李家沟乡,0
8142,江南街道办事处,1
8143,日尔乡,0
8144,平庄东城街道办事处,1
8145,毛尖山乡,0
8146,贺圈镇,1
8147,冠英镇,1
8148,乐业镇,1
8149,新街镇,1
8150,大用镇,1
8151,南薰镇,1
8152,镇赉镇,1
8153,东王营乡,0
8154,固日班花苏木,0
8155,扎格斯台苏木,0
8156,楠木坪镇,1
8157,城西街道,1
8158,普戎镇,1
8159,新街镇,1
8160,蓬莱镇,1
8161,罐头嘴镇,1
8162,南屏镇,1
8163,海口镇,1
8164,韩庄镇,1
8165,小二台镇,1
8166,后窑镇,1
8167,何田乡,0
8168,黄家镇,1
8169,虹桥镇,1
8170,宝峰街道,1
8171,蒲台乡,0
8172,韩城镇,1
8173,龙溪乡,0
8174,白姆乡,0
8175,富强镇,1
8176,万市镇,1
8177,杨家乡,0
8178,佳山乡,0
8179,耀灵镇,1
8180,南阳镇,1
8181,朱坝街道,1
8182,青龙乡,0
8183,鲁桥镇,1
8184,泗洲镇,1
8185,祁山镇,1
8186,保安镇,1
8187,梁集镇,1
8188,干河彝族乡,0
8189,新度镇,1
8190,里潭乡,0
8191,东拉乡,0
8192,刘阁街道办事处,1
8193,西五家子乡,0
8194,望田镇,1
8195,南盛镇,1
8196,柿溪乡,0
8197,崇岗镇,1
8198,道坪镇,1
8199,雄巴乡,0
8200,黄花甸镇,1
8201,平庄镇,1
8202,永丰乡,0
8203,达埔镇,1
8204,黄升镇,1
8205,水泉镇,1
8206,保华乡,0
8207,桑林镇,1
8208,王舍人街道办事处,1
8209,三合镇,1
8210,东城办事处,1
8211,新湖镇,1
8212,洪塘镇,1
8213,观堂镇,1
8214,香格里拉镇,1
8215,合面镇,1
8216,白水瑶族乡,0
8217,羊市镇,1
8218,都昌镇,1
8219,河神庙乡,0
8220,向阳乡,0
8221,孟庄镇,1
8222,大冷蒙古族镇,1
8223,青龙镇,1
8224,阿克陶镇,1
8225,中壤塘镇,1
8226,巍宝山乡,0
8227,涛城镇,1
8228,太德乡,0
8229,丹阳镇,1
8230,伯党乡,0
8231,石鼓镇,1
8232,太平街道,1
8233,莲塘镇,1
8234,华家河镇,1
8235,烟台街道办事处,1
8236,白蕉镇,1
8237,柳城畲族镇,1
8238,木里镇,1
8239,新城街道,1
8240,姚集镇,1
8241,清水乡,0
8242,河上镇,1
8243,忠庄街道办事处,1
8244,马头山镇,1
8245,鱼龙镇,1
8246,厚坡镇,1
8247,大庙口镇,1
8248,姚村镇,1
8249,新城乡,0
8250,通安驿镇,1
8251,依汶镇,1
8252,五陵镇,1
8253,张陶乡,0
8254,东冶镇,1
8255,康扬镇,1
8256,左店乡,0
8257,江村镇,1
8258,桐城镇,1
8259,柔远镇,1
8260,青杠塘镇,1
8261,官庄镇,1
8262,金粟镇,1
8263,永丰路街道,1
8264,育民乡,0
8265,埠村街道办事处,1
8266,敖泉镇,1
8267,官庄镇,1
8268,烟袋镇,1
8269,胜利镇,1
8270,临安镇,1
8271,刷经寺镇,1
8272,七里河镇,1
8273,藉口镇,1
8274,茫汗苏木,0
8275,四台嘴乡,0
8276,沙浦镇,1
8277,大湾镇,1
8278,碧寨乡,0
8279,承安镇,1
8280,曹黄林镇,1
8281,卡热乡,0
8282,六墩镇,1
8283,虎城镇,1
8284,旗口镇,1
8285,马营镇,1
8286,西江镇,1
8287,桥下镇,1
8288,新场镇,1
8289,安城镇,1
8290,友谊镇,1
8291,寨里镇,1
8292,暖泉镇,1
8293,木坡乡,0
8294,直罗镇,1
8295,西湖镇,1
8296,新坡镇,1
8297,其中口乡,0
8298,长寿镇,1
8299,张兰镇,1
8300,乌拉街镇,1
8301,淳口镇,1
8302,龙头镇,1
8303,人和街道办事处,1
8304,禹山镇,1
8305,金锁镇,1
8306,洪纳海镇,1
8307,绿汁镇,1
8308,白石镇,1
8309,达朗坎乡,0
8310,燕厦乡,0
8311,巉口镇,1
8312,马元镇,1
8313,磨头镇,1
8314,华山镇,1
8315,新桥镇,1
8316,尧禾镇,1
8317,青磁窑乡,0
8318,濮阳县户部寨镇,1
8319,百兴镇,1
8320,沔渡镇,1
8321,洪星乡,0
8322,朱衣镇,1
8323,鹭鸶港乡,0
8324,高兴镇,1
8325,正兴镇,1
8326,油田镇,1
8327,六靖镇,1
8328,柳河镇,1
8329,平林镇,1
8330,拉斯奎镇,1
8331,葛竹坪镇,1
8332,太和镇,1
8333,栏杆镇,1
8334,呼热图淖尔苏木,0
8335,张良镇,1
8336,白田乡,0
8337,寿山乡,0
8338,刘堡镇,1
8339,延坪镇,1
8340,青要山镇,1
8341,蓉花山镇,1
8342,骆集乡,0
8343,皇宫镇,1
8344,米山镇,1
8345,双山镇,1
8346,青塘镇,1
8347,木尕拉镇,1
8348,奎苏镇,1
8349,南浦街道,1
8350,黄岭镇,1
8351,帮堆乡,0
8352,坡头镇,1
8353,沐浴店镇,1
8354,梦溪镇,1
8355,良庆镇,1
8356,张村镇,1
8357,凤瑞街道办事处,1
8358,燕子河镇,1
8359,三口塘镇,1
8360,金沙街道,1
8361,鳌头镇,1
8362,泗城镇,1
8363,村戈乡,0
8364,汴河镇,1
8365,孙庄乡,0
8366,五堡镇,1
8367,章广镇,1
8368,井岸镇,1
8369,石梁镇,1
8370,草河城镇,1
8371,北郭乡,0
8372,薛店镇,1
8373,农坝镇,1
8374,葛沽镇,1
8375,枫香镇,1
8376,苗馆镇,1
8377,牛田镇,1
8378,冯瓴乡,0
8379,宗沙乡,0
8380,大坪乡,0
8381,七塘镇,1
8382,米龙乡,0
8383,安塘街道,1
8384,高村镇,1
8385,文陂镇,1
8386,巴河镇,1
8387,三管镇,1
8388,谢屯镇,1
8389,大榆树镇,1
8390,佛子镇,1
8391,九溪镇,1
8392,寨前镇,1
8393,峡口镇,1
8394,先锋镇,1
8395,盐池镇,1
8396,小越街道,1
8397,雷坪镇,1
8398,德苴乡,0
8399,绿茵湖街道办事处,1
8400,黎水镇,1
8401,太莪乡,0
8402,新泉镇,1
8403,大巫岚镇,1
8404,北义井乡,0
8405,太平桥镇,1
8406,牛家梁镇,1
8407,天池店乡,0
8408,旭光乡,0
8409,殷祖镇,1
8410,赞字乡,0
8411,宁平镇,1
8412,古水镇,1
8413,中观镇,1
8414,夷望溪镇,1
8415,寨圪塔乡,0
8416,北石佛乡,0
8417,源潭镇,1
8418,城隍镇,1
8419,致富乡,0
8420,北褚镇,1
8421,马蚌镇,1
8422,站集镇,1
8423,北社乡,0
8424,别力古台镇,1
8425,甜水镇,1
