FID,省级,市级,市代码,区县级,区县码,乡镇级,乡镇码,省代码
10511,四川省,凉山彝族自治州,5.134E+11,西昌市,5.13401E+11,银厂乡,5.13401E+11,510000
10512,辽宁省,抚顺市,2.104E+11,东洲区,2.10403E+11,龙凤街道,2.10403E+11,210000
10513,新疆维吾尔自治区,昌吉回族自治州,6.523E+11,玛纳斯县,6.52324E+11,自治区林业厅玛纳斯平原林场,6.52324E+11,650000
10514,山西省,忻州市,1.409E+11,五寨县,1.40928E+11,新寨乡,1.40928E+11,140000
10515,安徽省,阜阳市,3.412E+11,颍上县,3.41226E+11,半岗镇,3.41226E+11,340000
10516,福建省,泉州市,3.505E+11,永春县,3.50525E+11,苏坑镇,3.50525E+11,350000
10517,湖南省,株洲市,4.302E+11,醴陵市,4.30281E+11,船湾镇,4.30281E+11,430000
10518,湖北省,省直辖县级行政区划,4.29E+11,天门市,4.29006E+11,汪场镇,4.29006E+11,420000
10519,四川省,甘孜藏族自治州,5.133E+11,理塘县,5.13334E+11,中木拉乡,5.13334E+11,510000
10520,山东省,德州市,3.714E+11,庆云县,3.71423E+11,常家镇,3.71423E+11,370000
10521,江苏省,宿迁市,3.213E+11,沭阳县,3.21322E+11,东小店乡,3.21322E+11,320000
10522,新疆维吾尔自治区,塔城地区,6.542E+11,裕民县,6.54225E+11,吉也克镇,6.54225E+11,650000
10523,云南省,文山壮族苗族自治州,5.326E+11,砚山县,5.32622E+11,平远管理区,5.32623E+11,530000
10524,重庆市,县,5.002E+11,酉阳土家族苗族自治县,5.00242E+11,丁市镇,5.00242E+11,500000
10525,广西壮族自治区,柳州市,4.502E+11,柳江区,4.50206E+11,洛满镇,4.50206E+11,450000
10526,黑龙江省,哈尔滨市,2.301E+11,尚志市,2.30183E+11,元宝镇,2.30183E+11,230000
10527,四川省,泸州市,5.105E+11,江阳区,5.10502E+11,蓝田街道办事处,5.10502E+11,510000
10528,湖南省,娄底市,4.313E+11,娄星区,4.31302E+11,双江乡,4.31302E+11,430000
10529,内蒙古自治区,赤峰市,1.504E+11,阿鲁科尔沁旗,1.50421E+11,双胜镇,1.50421E+11,150000
10530,江西省,宜春市,3.609E+11,奉新县,3.60921E+11,石溪办事处,3.60922E+11,360000
10531,四川省,甘孜藏族自治州,5.133E+11,色达县,5.13333E+11,然充乡,5.13333E+11,510000
10532,河北省,邢台市,1.305E+11,平乡县,1.30532E+11,河古庙镇,1.30532E+11,130000
10533,四川省,成都市,5.101E+11,都江堰市,5.10181E+11,中兴镇,5.10181E+11,510000
10534,山东省,烟台市,3.706E+11,芝罘区,3.70602E+11,只楚街道,3.70602E+11,370000
10535,安徽省,蚌埠市,3.403E+11,怀远县,3.40321E+11,陈集镇,3.40321E+11,340000
10536,江苏省,连云港市,3.207E+11,海州区,3.20706E+11,宁海街道,3.20706E+11,320000
10537,甘肃省,陇南市,6.212E+11,宕昌县,6.21223E+11,甘江头乡,6.21223E+11,620000
10538,浙江省,衢州市,3.308E+11,柯城区,3.30802E+11,府山街道,3.30802E+11,330000
10539,河北省,石家庄市,1.301E+11,赞皇县,1.30129E+11,西阳泽乡,1.30129E+11,130000
10540,广东省,惠州市,4.413E+11,惠东县,4.41323E+11,白盆珠镇,4.41323E+11,440000
10541,江西省,九江市,3.604E+11,瑞昌市,3.60481E+11,肇陈镇,3.60481E+11,360000
10542,四川省,乐山市,5.111E+11,沙湾区,5.11111E+11,嘉农镇,5.11111E+11,510000
10543,安徽省,安庆市,3.408E+11,望江县,3.40827E+11,望江县经济开发区,3.40827E+11,340000
10544,西藏自治区,林芝市,5.404E+11,工布江达县,5.40421E+11,娘蒲乡,5.40421E+11,540000
10545,辽宁省,大连市,2.102E+11,沙河口区,2.10204E+11,春柳街道,2.10204E+11,210000
10546,湖南省,衡阳市,4.304E+11,衡山县,4.30423E+11,永和乡,4.30423E+11,430000
10547,四川省,甘孜藏族自治州,5.133E+11,色达县,5.13333E+11,年龙乡,5.13333E+11,510000
10548,河北省,承德市,1.308E+11,双桥区,1.30802E+11,狮子沟镇,1.30802E+11,130000
10549,河北省,保定市,1.306E+11,易县,1.30633E+11,白马乡,1.30633E+11,130000
10550,山西省,晋城市,1.405E+11,城区,1.40502E+11,西街街道办事处,1.40502E+11,140000
10551,江苏省,淮安市,3.208E+11,淮安经济技术开发区,3.20871E+11,范集镇,3.20871E+11,320000
10552,云南省,丽江市,5.307E+11,永胜县,5.30722E+11,程海镇,5.30722E+11,530000
10553,黑龙江省,牡丹江市,2.31E+11,林口县,2.31025E+11,建堂镇,2.31025E+11,230000
10554,广西壮族自治区,柳州市,4.502E+11,鹿寨县,4.50223E+11,拉沟乡,4.50223E+11,450000
10555,河南省,南阳市,4.113E+11,南召县,4.11321E+11,国营东风机械厂,4.11321E+11,410000
10556,辽宁省,大连市,2.102E+11,沙河口区,2.10204E+11,兴工街道,2.10204E+11,210000
10557,河南省,平顶山市,4.104E+11,鲁山县,4.10423E+11,滚子营乡,4.10423E+11,410000
10558,北京市,市辖区,1.101E+11,房山区,1.10111E+11,长沟镇,1.10111E+11,110000
10559,海南省,海口市,4.601E+11,龙华区,4.60106E+11,遵谭镇,4.60106E+11,460000
10560,甘肃省,兰州市,6.201E+11,城关区,6.20102E+11,皋兰路街道,6.20102E+11,620000
10561,福建省,龙岩市,3.508E+11,长汀县,3.50821E+11,涂坊镇,3.50821E+11,350000
10562,山西省,晋中市,1.407E+11,榆次区,1.40702E+11,西南街道办事处,1.40702E+11,140000
10563,安徽省,池州市,3.417E+11,东至县,3.41721E+11,东流镇,3.41721E+11,340000
10564,吉林省,吉林市,2.202E+11,磐石市,2.20284E+11,福安街道办事处,2.20284E+11,220000
10565,湖北省,咸宁市,4.212E+11,崇阳县,4.21223E+11,桂花泉镇,4.21223E+11,420000
10566,湖南省,邵阳市,4.305E+11,绥宁县,4.30527E+11,黄土矿镇,4.30527E+11,430000
10567,四川省,眉山市,5.114E+11,仁寿县,5.11421E+11,藕塘乡,5.11421E+11,510000
10568,西藏自治区,昌都市,5.403E+11,类乌齐县,5.40323E+11,长毛岭乡,5.40323E+11,540000
10569,广西壮族自治区,桂林市,4.503E+11,灵川县,4.50323E+11,兰田瑶族乡,4.50323E+11,450000
10570,广西壮族自治区,百色市,4.51E+11,靖西市,4.51081E+11,龙临镇,4.51081E+11,450000
10571,内蒙古自治区,通辽市,1.505E+11,科尔沁左翼后旗,1.50522E+11,原种场,1.50522E+11,150000
10572,河北省,邯郸市,1.304E+11,成安县,1.30424E+11,商城镇,1.30424E+11,130000
10573,湖南省,张家界市,4.308E+11,永定区,4.30802E+11,尹家溪镇,4.30802E+11,430000
10574,安徽省,黄山市,3.41E+11,歙县,3.41021E+11,新溪口乡,3.41021E+11,340000
10575,四川省,成都市,5.101E+11,成华区,5.10108E+11,跳蹬河街道,5.10108E+11,510000
10576,辽宁省,盘锦市,2.111E+11,兴隆台区,2.11103E+11,高升街道,2.11103E+11,210000
10577,广西壮族自治区,南宁市,4.501E+11,兴宁区,4.50102E+11,九曲湾农场,4.50102E+11,450000
10578,新疆维吾尔自治区,喀什地区,6.531E+11,麦盖提县,6.53127E+11,吐曼塔勒乡,6.53127E+11,650000
10579,江西省,赣州市,3.607E+11,定南县,3.60728E+11,岭北镇,3.60728E+11,360000
10580,河南省,南阳市,4.113E+11,唐河县,4.11328E+11,古城乡,4.11328E+11,410000
10581,河北省,承德市,1.308E+11,兴隆县,1.30822E+11,蘑菇峪乡,1.30822E+11,130000
10582,湖南省,郴州市,4.31E+11,北湖区,4.31002E+11,华塘镇,4.31002E+11,430000
10583,湖北省,荆州市,4.21E+11,松滋市,4.21087E+11,老城镇,4.21087E+11,420000
10584,西藏自治区,昌都市,5.403E+11,洛隆县,5.40329E+11,白达乡,5.40329E+11,540000
10585,河南省,新乡市,4.107E+11,辉县市,4.10782E+11,北云门镇,4.10782E+11,410000
10586,青海省,西宁市,6.301E+11,城北区,6.30105E+11,火车西站办事处,6.30105E+11,630000
10587,贵州省,黔西南布依族苗族自治州,5.223E+11,安龙县,5.22328E+11,笃山镇,5.22328E+11,520000
10588,重庆市,市辖区,5.001E+11,渝中区,5.00103E+11,大坪街道办事处,5.00103E+11,500000
10589,广东省,汕头市,4.405E+11,金平区,4.40511E+11,金厦街道,4.40511E+11,440000
10590,广东省,肇庆市,4.412E+11,四会市,4.41284E+11,龙甫镇,4.41284E+11,440000
10591,江西省,赣州市,3.607E+11,兴国县,3.60732E+11,社富乡,3.60732E+11,360000
10592,四川省,雅安市,5.118E+11,天全县,5.11825E+11,兴业乡,5.11825E+11,510000
10593,广东省,中山市,4.42E+11,nan,nan,坦洲镇,4.42E+11,440000
10594,上海市,市辖区,3.101E+11,崇明区,3.10151E+11,竖新镇,3.10151E+11,310000
10595,福建省,福州市,3.501E+11,福清市,3.50181E+11,龙山街道,3.50181E+11,350000
10596,青海省,果洛藏族自治州,6.326E+11,班玛县,6.32622E+11,灯塔乡,6.32622E+11,630000
10597,福建省,南平市,3.507E+11,建瓯市,3.50783E+11,吉阳镇,3.50783E+11,350000
10598,重庆市,市辖区,5.001E+11,江津区,5.00116E+11,四屏镇,5.00116E+11,500000
10599,吉林省,松原市,2.207E+11,宁江区,2.20702E+11,繁荣街道办事处,2.20702E+11,220000
10600,甘肃省,酒泉市,6.209E+11,金塔县,6.20921E+11,中东镇,6.20921E+11,620000
10601,吉林省,长春市,2.201E+11,榆树市,2.20182E+11,恩育乡,2.20182E+11,220000
10602,吉林省,长春市,2.201E+11,二道区,2.20105E+11,四家乡（长春莲花山生态旅游度假区省级）,2.20105E+11,220000
10603,江苏省,盐城市,3.209E+11,射阳县,3.20924E+11,千秋镇,3.20924E+11,320000
10604,福建省,福州市,3.501E+11,仓山区,3.50104E+11,对湖街道,3.50104E+11,350000
10605,陕西省,宝鸡市,6.103E+11,陇县,6.10327E+11,新集川镇,6.10327E+11,610000
10606,河北省,保定市,1.306E+11,容城县,1.30629E+11,容城镇,1.30629E+11,130000
10607,四川省,阿坝藏族羌族自治州,5.132E+11,汶川县,5.13221E+11,漩口镇,5.13221E+11,510000
10608,广东省,湛江市,4.408E+11,遂溪县,4.40823E+11,杨柑镇,4.40823E+11,440000
10609,湖南省,邵阳市,4.305E+11,新宁县,4.30528E+11,清江桥乡,4.30528E+11,430000
10610,江苏省,淮安市,3.208E+11,淮安区,3.20803E+11,河下街道,3.20803E+11,320000
10611,甘肃省,陇南市,6.212E+11,武都区,6.21202E+11,两水镇,6.21202E+11,620000
10612,内蒙古自治区,锡林郭勒盟,1.525E+11,苏尼特左旗,1.52523E+11,恩格尔河灌区,1.52524E+11,150000
10613,内蒙古自治区,呼伦贝尔市,1.507E+11,鄂伦春自治旗,1.50723E+11,大兴安岭林管局毕拉河林业局,1.50723E+11,150000
10614,黑龙江省,黑河市,2.311E+11,逊克县,2.31123E+11,新鄂乡,2.31123E+11,230000
10615,广西壮族自治区,百色市,4.51E+11,靖西市,4.51081E+11,安宁乡,4.51081E+11,450000
10616,湖北省,宜昌市,4.205E+11,点军区,4.20504E+11,联棚乡,4.20504E+11,420000
10617,云南省,大理白族自治州,5.329E+11,永平县,5.32928E+11,龙门乡,5.32928E+11,530000
